17,Earthquake epicenter,areal and point locations for earthquake epicenters in shape file formats and .xls file formats.,100 plus,100 plus records,Digital shape files will be provided in an excel spreadsheet and/ or MS access file formats. Supporting earthquake epicenter maps as geotiff image files ,47,tect
18,Temperature,Water temperature  data records will be digitized and stratified into tabular data (.xls) format.  ,250,"250 temperature recordings of the 7,000 water temperature records we have available.",Digital data files will be provided in an excel spreadsheet and/or MS Access file formats.  ,47,temp
19,"Trace constituent chemistry dataset. (Water Chemistry, trace-element data)",Water geochemistry data in tabular data files .xls and /or MS Access.,100,Trace constituent chemistry records for 100 different boreholes/ sources. ,Digital data files  in an excel spreadsheet and / or MS Access file formats. Supporting well log .pdf image files ,47,wchem
20,Active faults,Active faults as feature lines,50 faults,line feature ,line feature WFS,37,tect
21,Hot spring descriptions,Data pertaining to about 45 thermal springs (temp. > 20 C) in Arizona,45,Hot springs data for basic feature items,Data will be provided in an MS Excel spreadsheet document for NGDS repository; arrangement with NGDS core to incorporate data into database for NGDS borehole temperature WFS service.,37,temp
22,Hot Springs Water Chemistry,Thermla well  fluid chemistry ,35,"general chemistry, isotopes, field parameters.",Set up as WFS and register document with Excel spreadsheet,37,wchem
23,Documents,documents,740,"produce metadata, scan documents",Put pdf online in repository,37,meta
24,References,List of references on geothermal papers/reports,1,document,Adobe Pdf document ,37,meta
25,Bottom hole temperatures,well data from logs with tempertaures,1140,"well name, location, temperature","Set up as observation feature service, and register document with Excel spreadsheet",37,temp
26,Lithologic logs,"Lithologic logs of temperature-depth boreholes to accompany ""Temperature-depth logs"" in previous data item.",about 9,"lithology, interval",Prepare a report containing temperature-depth data from previous data item and include graphic lithologic logs (where available) to accompany the spreadsheet in the previous data item.,37,lith
27,Drill stem tests,Drill-stem test data from wells drilled for oil & gas in Arizona.,about 150,"DTS test data, location, pressures, intervals","DST data to be provided in MS Excel spreadsheet(s), GIS layers, and documents for NGDS repository.  First year contribution out of about 585 total DSTs.",37,wchem
28,Water chemistry dataset.,Thermla well  fluid chemistry ,2213 analyses,"general chemistry, isotopes, field parameters.","Set up as observation feature service, and register document with Excel spreadsheet",37,wchem
29,Thermal well descriptions,"Borehole data inlcuding borehole ID, name, lat/long, temp, driller data. ",200,Data pertaining to about 200 thermal wells (temp. > 20 C) in Arizona,Data will be provided in an MS Excel spreadsheet document for NGDS repository; arrangement with NGDS core to incorporate data into database for NGDS borehole temperature WFS service. First year contribution out of about 1200 total thermal wells.,37,temp
30,Temperature-depth logs,Borehole data,about 38,"borehole ID, name, lat/long, temp, driller data. ",Would make additional temperature-depth data available as MS Excel spreadsheet(s) for NGDS and SMU,37,temp
31,Temperature-depth profiles,Boreholes with temperature-depth profiles ,about 113,"borehole ID, name, lat/long, temp, driller, temp, depth ",Would make additional temperature-depth data available as MS Excel spreadsheet(s) for NGDS and SMU,37,temp
32,Volcanic vents,Volcanic vents ,24,"age, location, type, geologic unit","Volcanic vents data to be provided in MS Excel spreadsheet(s), GIS layers, and documents for NGDS repository.  Additional Year-1  data.",37,tect
33,State Map with Goethermal Data,document metadata,1,299 springs listed on 1 map,WFS and WMS with features observation. Note: Map only available for purchase.,25,map
34,Hot Springs,Data pertaining to about 304 thermal springs (temp. > 20 C),304,304 springs listed on report,WFS with features observation,25,temp
35,Hot Springs ,Data pertaining to about 990 thermal springs (temp. > 20 C),990,CAGS database - 990 hot springs locations,Document - database in Excel,25,temp
36,Documents relating to geothermal,CGS OFRs on geothermal research . Provide metadata in template.,11,11 Scanned documents and references catalogued,provide CGS  metadata ,25,meta
37,Hot Springs Fluid Chem,Thermla well  fluid chemistry,212,"general chemistry, isotopes, field parameters.",WFS and WMS with features observation,25,wchem
38,active volcanic vents,Volcanic vents ,1,"age, location, type, geologic unit",Provide CSSC link metadata,25,tect
39,geothermal energy production documents,CGS geothermal energy production bulletins . Provide metadata in template.,20,20,Provide CSG link metadata,25,meta
40,Metadata  (Bottom Hole Temperature),document metadata,1,989 Geothermal wells from GHC document,Provide link metadata to CGS Open file report order catalogue,25,meta
41,active faults,Active faults as feature lines,222,222,WMS based on new active fault database,25,tect
42,Temperature gradients for many of the sedimentary basins,document metadata,1,Document,"Paper by Sanyal, Robertson-Tait, Kraemer, and Buening (Sanyal, S.K., Robertson-Tait, A., Kraemer, M., and Buening, N., 1993, A survey of potential Geopressured Resource Areas in California, Proceedings Eighteenth Workshop on Geothermal Engineering, Stanford University, Stanford California, January 26-28, 1993.",25,temp
43, Borelogs - Oil and Gas,"Borehole data inlcuding borehole ID, name, lat/long, temp, driller data. ",3064,"CA wells database: 198,367 O&G wells",Database in Access/Excel file; Provide metadata for link to DOGGR (preferred) or  data to Hub server,25,lith
44,injection wells - Oil and Gas,"Borehole data inlcuding borehole ID, name, lat/long, temp, driller data. ",1,Removed from deliverbales,"database in MS Access, provide CGS  metadata  or  data to Hub service",25,lith
45,Geothermal well s BHT Temperature ,"Borehole data inlcuding borehole ID, name, lat/long, temp, driller data. ",1,"147,131 data, non-confidential",databases in MS Access - provide DOGGR  metadata  or  data to Hub service,25,temp
46,Status - Idle Wells - O&G  wells,"Borehole data inlcuding borehole ID, name, lat/long, temp, driller data. ",19558,"1 database containing 19,958 wells currently idle in all 6 districts in CA ",Provide metadata for DOGGR link to Idle Well website,25,temp
47,Document - Bibliography,Bibliography for Colorado geothermal,1,document,Initial searchable text file will be on-line in 2010.  Host for online access will be CGS server.  Interchange format not applicable (?).   ,32,meta
48,Document - References,List of geothermal references unique to Colorado,250,document,Initial spreadsheet will be on-line on 2010.  Host will be CGS server.  Downloadable copies of all documents without copyright will be added in a subsequent SOW.,32,meta
49,Bottom hole temperature - maps,Published (2010) geothermal maps of Colorado based primarily on BHT data,2,"476 MB (O&G Geothermal)226 MB (Geothermal Gradient)",These map products are currently available as CD-ROMs.  All that remains is to load them onto the CGS server in a form in which they may be downloaded.  ,32,map
50,Bottom hole temperature - Corrections,Documentation for corrections for BHT data,6,"",Document will be on-line as a PDF file in 2010.  Host for online access will be CGS server.  Interchange format not applicable (?).,32,temp
51,Bottom hole temperature - data,BHT data from O&G wells with drilling disturbance corrections,">10,000","",Data will be spreadsheets organized by Basin or Field with files placed on-line in 2010. ,32,temp
52,Hot Spring Description - basic information,Warm and Hot Spring basic parameters,>110,"","Data will be in a spreadsheet organized alphabetically by the main name of the spring location, with file on-line in 2010.  Host for online access will be CGS server.  ",32,temp
53,Hot Spring Description - geochemistry,Chemical analyses of water from warm and hot springs,110,"","Data will be in a spreadsheet organized alphabetically by the main name of the spring location, with main files on-line in 2011.  Include spring name,  temperature, chemical composition as defined by basic groundwater chemical analysis typical for geothermal studies.   ",32,wchem
54,Hot Spring Description - geothermometry from spring data,Geothermal reservoir temperature estimates based chemical and isotopic data,60-70 ,"","Data will be in a spreadsheet organized alphabetically by the main name of the spring location, with files on-line in 2011.  Include spring name, temperature, estimated reservoir temperatures from various silica, cation, and, where available, isotopic geothermometers.  ",32,temp
55,Heat flow measurement - map,Published (2008) geothermal maps of Colorado based primarily on heat-flow data,1,298 MB,This map product is currently available as a CD-ROM.  All that remains is to load it onto the CGS server in a form in which it may be downloaded.  It is likely to be updated during the  project.,32,temp
56,Geologic map - Part 1,Digital Geologicla map,1,"Colorado geologic map (1:500,000) ArcGIS data - 25 MB","Colorado geologic map (1:500,000) ArcGIS data is available on the internet via USGS (http://pubs.usgs.gov/of/1992/ofr-92-0507/).  CGS also has the digital data.  CGS will expose to NGDS, as WMS/WFS using existing attributes on map.   ",29,map
57,Active Fault,Active faults as feature lines,1,Active fault content model and shapefiles - 20 MB,"""Expose"" data to the NGDS in the recommended formats.  Data portal page: http://geosurvey.state.co.us/Default.aspx?tabid=270 Data hosting page: http://165.127.23.67/cgsmap/LoadMap.cfm Currently on-line",32,tect
58,Chemical analysis (whole-rock chemistry)/observation,point features as records in a shape file,120,"Lat and Long of sample location, elevation of sample, sample type, rock type, density, Si02, TiO2, Al2O3, Fe2O3, MnO, MgO, CaO, Na2O, K2O, P2O5, Loss on Ignition ",Data will be provided as an ESRI shape file for NGDS document repository; arrangement with local hub (Kentucky) to host WFS; NGDS-compliant metadata,19,rchem
59,Trace constituent chemistry data,point features as records in a shape file,120,"Lat and Long of sample location, elevation of sample, sample type, rock type, density, Nb, Zr, Sr, Y, Rb, U, Th, Pb, Zn, Ni, Cr, Ga, V, Ce, Ba, La ",Data will be provided as an ESRI shape file for NGDS document repository; arrangement with local hub (Kentucky) to host WFS; NGDS-compliant metadata,19,wchem
60,Lithologic Logs ,lithologic logs of deep boreholes (5 separate items totalling 439 pages),5,"Borehole identifier, locational coordinates, box#, interval (ft)",pdf file to be provided for each lithologic log for NGDS document repository.,19,lith
61,Aeromagnetic Map ,Aeromagnetic Map of Connecticut,1,"magnetic countours, ci = 50 gammas",georeferenced tiff to be provided for NGDS document repository; arrangement with local hub (Kentucky) to host WFS; NGDS-compliant metadata,19,map
62,Aeroradioactivity Map ,"Aeroradioactivity and Generalized Geologic Maps of Parts of CT,RI and MA (USGS GP 359)",1,radioactivity as cps gross gamma,georeferenced tiff to be provided for NGDS document repository; arrangement with local hub (Kentucky) to host WFS; NGDS-compliant metadata,19,map
63,Aeroradioactivity Map ,Aeroradioactivity of parts of East Central NY and West-Central NewEngland(USGS GP 358),1,radioactivity as cps gross gamma,georeferenced tiff to be provided for NGDS document repository; arrangement with local hub (Kentucky) to host WFS; NGDS-compliant metadata,19,map
64,"Borehole lithology logs, geothermal test wells",Lithologic descriptions of cuttings or core by depth interval,5,"Latitude, longitude, elevation, well identification information, completion date, depth intervals, lithology for interval","For wells currently unavailable through other sources (e.g., SMU), interval lithology descriptions will be entered in web-accessible database on VA DMME server.  ",29,lith
65,"Borehole lithology logs, water wells",Lithologic descriptions of cuttings or core by depth interval,200,"Latitude, longitude, elevation, well identification information, completion date, depth intervals, lithology for interval",For wells  interval lithology descriptions will be entered in web-accessible database on VA DMME server. Representative wells from around the state will be selected.  ,29,lith
66,Bottom hole temperature,Bottom-hole temperatures from water wells ,100,"Latitude, longitude, well identification information, depth/elevation, bottom-hole temperature, time lapsed since circulation stopped ",Wells with available BHTdata will be identified and a representative set of data from around the state will be selected for entry into a web-accessible database on a VA DMME server.  ,29,temp
67,"Digital well log, geothermal test wells ",Paper geophysical logs to be scanned,5,"Latitude, longitude, elevation, well identification information","For wells  paper geophysical logs will be scanned.  For wells with digital logs available in-state but off-line, files will be acquired, verified, and quality-checked.  Files will be placed on publicly-accessible directory on VA DMME server.  ",29,lith
68,"Digital well log, water wells ",Paper geophysical logs to be scanned,100,"Latitude, longitude, elevation, well identification information","For wells  paper geophysical logs will be scanned.  For wells with digital logs available in-state but off-line, files will be acquired, verified, and quality-checked.   Representative wells from around the state will be selected.  ",29,lith
69,Document,"Various published and unpublished reports emanating from geothermal research at Virginia Tech, 1969-1989",30,"Title, authors, year, reference information, page numbers, total number of pages, file size",Bibliography of published and unpublished documents related to geothermal energy in the state will be developed and placed on VA DMME server.  ,29,meta
70,Geologic map,Modern and historical paper geologic maps at various scales.7 geologic maps are available as digital polygons; five are available as georeferenced TIFF images; various scales.,15,"Title, authors, year, scale, reference information, total number of pages (if report accompanies map), file size","Team will seek permission from state geological survey to place their geological maps online for free download.  Where permission is granted, existing scanned 1:24,000 geologic maps and their accompanying reports will be converted to .pdf and made available for free download on VA DMME server.  Paper maps not currently available digitally for which permission is granted will be scanned, converted to pdf, and placed online for free download.  ",29,map
71,"Geologic Unit feature,  geothermal characterization",Descriptions of geologic units mapped in the state,50,"Rock unit name, major lithologies, thermal conductivity","Geologic rock units used on geologic maps in the state will be described and characterized, including thermal conductivity data, where available. ",29,meta
72,Heat flow measurement ,Direct heat flow measurements from geothermal test wells.  Virginia Tech data.,5,"Latitude, longitude, well identification information, depth/elevation, measured heat flow",For wells heat flow measurements will be entered in web-accessible database on VA DMME server.  ,29,temp
73,Hot spring description,Hot spring description,TBD,Descriptions of thermal springs in the state  from published and unpublished reports.  ,"",29,temp
74,Temperature depth log ,Temperature logs from geothermal test wells,5,"Latitude, longitude, well identification information, depth/elevation, temperature ","For wells currently unavailable through other sources (e.g., SMU), temperature/depth measurements will be entered in web-accessible database on VA DMME server.  Metadata will be developed for all records and entered into NGDS.",29,lith
75,Thermal conductivity measurement ,Thermal conductivity of rocks tested by Virginia Tech,TBD,"Latitude, longitude, sample identification information, depth/elevation of sample, measured thermal conductivity, measurement procedure","For wells , thermal conductivity measurements from published and unpublished reports.  ",29,temp
76,Document-Temperature log,pdf of scanned log. document (scanned log),>10,Document metadata for scanne dlogs,metadata record in catalog,49,meta
77,Hot springs,hot spring description,2,"name, locaiton, temperature",Excel spreadsheet,49,temp
78,Meta data ,"Statewide temperature database and for Oil and Gas Database - Borehole feature descriptions, BHT",2,"Oil & gas data base. The ""amount"" can only be described by the number of wells in the data base. There are injection wells and disposal wells for which  data and metadata are avialble. All of this data is digitized. Also digitized are the bottom hole temp",Metadata for statewide temperature database and for Oil and Gas Database.,49,meta
79,Temperatue log,temperature log coverage record. Borehole temperature coverage (LAS files?),>10,LAS document,"data set of {temperature, depth} tuples, BoreholeID, procedure, date measured, time since circulation",49,temp
80,Oil & gas data base  bottom hole temperatures,metadata records for O&G boreholes. Bottom hole temperature data,1000,"BHT dataset name, location, tempertaure",Same as above,49,lith
81,Borehole data,"Class I domestic and Industerial wells 190, monitoring wells  about 350 wells. Class V 102 wells. Class V non ASR wells about 50,000 . metadata for UIC database, borehole feature descriptions. UIC data base that resides in the State's DEPclasses I, II, IV","56,500","The amount and qulaity of metadata will be evaluated along with evaluating the utility of the UIC data base for the geothermal project. Class I domestic and Industerial wells 190, each well is associated with one or two monitoring wells numbering about 35",Data will be delivered in digital format,49,lith
82,Borheole data - artesian wells,"metadata record for each district. water source feature descriptions, metadata for what the WMDs have that is geothermally relevant.",5,unknown. Those are abandoned or partially abandoned exploration wells that are the responsibility of the 5 WMDs. We have only sketchy information about the status of these wells and the nature or quality of data collected by the 5 districts; thus their ut,"metadata describing resources maintained by district; Ideally metadata records for each resource or resource type in the stewardship of each district would be produced, enumerating number of items, kind of data, contact information. Better yet, a feature service with information from each well.",49,meta
83,"Borehole lithology logs, geothermal test wells",Lithologic descriptions of cuttings or core by depth interval,27,"Latitude, longitude, elevation, well identification information, completion date, depth intervals, lithology for interval",For wells interval lithology descriptions will be entered in web-accessible database on VA DMME server.  ,45,lith
84,"Borehole lithology logs, water wells",Lithologic descriptions of cuttings or core by depth interval,100,"Latitude, longitude, elevation, well identification information, completion date, depth intervals, lithology for interval",For wells interval lithology descriptions will be entered in web-accessible database on VA DMME server. Representative wells from around the state will be selected.  ,45,lith
85,Bottom hole temperature,Bottom-hole temperatures from water wells ,100,"Latitude, longitude, well identification information, depth/elevation, bottom-hole temperature, time lapsed since circulation stopped ",Wells with available BHT data  will be identified and a representative set of data will be selected for entry into a web-accessible database on a VA DMME server.  ,45,temp
86,"Digital well log, geothermal test wells ",Paper geophysical logs to be scanned,27,"Latitude, longitude, elevation, well identification information","For wells paper geophysical logs will be scanned.  For wells with digital logs available in-state but off-line, files will be acquired, verified, and quality-checked.  Files will be placed on publicly-accessible directory on VA DMME server.  A",45,lith
87,"Digital well log, water wells ",Paper geophysical logs to be scanned,100,"Latitude, longitude, elevation, well identification information","For wells paper geophysical logs will be scanned.  For wells with digital logs available in-state but off-line, files will be acquired, verified, and quality-checked.   Representative wells from around the state will be selected.  ",45,lith
88,Document,"Various published and unpublished reports emanating from geothermal research at Virginia Tech, 1969-1989",30,"Title, authors, year, reference information, page numbers, total number of pages, file size",Bibliography of published and unpublished documents related to geothermal energy in the state will be developed and placed on VA DMME server.  ,45,meta
89,Geologic map,"Georgia geologic atlas series, paper maps",7,"Title, authors, year, scale, reference information, total number of pages (if report accompanies map), file size","USGS national geologic map database will be checked.  Team will seek permission from state geological survey to place their geological maps online for free download.  Where permission is granted, existing scanned 1:24,000 geologic maps and their accompanying reports will be converted to .pdf and made available for free download on VA DMME server.  ",45,map
90,"Geologic Unit feature,  geothermal characterization",Descriptions of geologic units mapped in the state,300,"Rock unit name, major lithologies, thermal conductivity","Geologic rock units used on geologic maps in the state will be described and characterized, including thermal conductivity data, where available.  Records will be stored in web-accessible database on VA DMME* server.  ",45,meta
91,Heat flow measurement ,"",TBD,"Latitude, longitude, well identification information, depth/elevation, measured heat flow",For wells heat flow measurements will be entered in web-accessible database on VA DMME server.  ,45,temp
92,Hot spring description,Springs with higher-than-background water temperature,7,"Latitude, longitude, flow rate, water temperature, water chemistry (if available)",Descriptions of thermal spring in the state from published and unpublished reports.  unavailable data will be stored in web-accessible database on VA DMME server.  ,45,temp
93,Temperature depth log ,Temperature logs from geothermal test wells,27,"Latitude, longitude, well identification information, depth/elevation, temperature ",For wells temperature/depth measurements will be entered in web-accessible database on VA DMME server.  Metadata will be developed for all records and entered into NGDS.,45,lith
94,Thermal conductivity measurement ,Thermal conductivity of rocks tested by Virginia Tech,TBD,"Latitude, longitude, sample identification information, depth/elevation of sample, measured thermal conductivity, measurement procedure","For wells currently unavailable through other sources (e.g., SMU), thermal conductivity measurements will be gleaned from published and unpublished reports.  Data will be stored in web-accessible database on VA DMME server.  Metadata will be developed for all records and entered into NGDS.",45,temp
95,Geologic map,polygon count for map,1,Polygons in shapefile,"Polygons in shapefile to repository, also serve as WFS from regional hub; WMS from regional hub with standard unit type portrayal and age portrayal.",1,map
96,Hot springs,Ho tsprings features (content model),<50,point shape file for service,"Hot spring feature wfs, provide point shape file for service",1,temp
97,Metadata,"technical reports, engineering reports, studies of Hawaii's geothermal system",estimated 350,one metadata record for each document,create metadata records in table form or xml file for import into NGDS catalog server. Documents will be scanned and placed in web-accessible location; URLs will be in metadata.,1,meta
98,Metadata,Cored intervals,1000,1000 records,"create ISO19139 xml document for each core interval,  submit for insert into metadata catalog.",1,meta
99,Metadata,well cuttings sample,2000,2000 records,"create ISO19139 xml document for each sample interval,  submit for insert into metadata catalog.",1,meta
100,Temperature observation,BHT well data,1000,1000 records,deliver as observation features via WFS.,1,temp
101,Volcanic rift systems,Rift zone shape files,20,polygon count for map,Rift zone outlines  delivered in shape files to regional hub for serving as WFS; shape file will also be put in document repository.,1,map
102,Water chemistry observation,observations,1000,1000 records,deliver as observation features via WFS.,1,wchem
103,Bedrock Geologic map,bedrock geology map,3501,"3,501 polygon features","WFS via ArcGIS Server, will require information for configuration (attributes to expose, etc.) from NGDC staff, testing assistance.",14,map
104,Bedrock Surface Elevation (vector format 50-ft. contour interval),bedrock surface elevation map,1,polyline features (165MB),"WFS via ArcGIS Server, will require information for configuration (attributes to expose, etc.) from NGDC staff, testing assistance.",14,map
105,Bedrock Surface Elevation (interpolated raster),bedrock surface elevation map,1,"coverage (raster, img format, 69MB, including 5MB pyramid file)","WMS via ArcGIS Server, will require information for configuration (attributes to expose, etc.) from NGDC staff, testing assistance.",14,map
106,Geologic Sampling Points. ,Sample data and lat/long point file,60000,"60,000+ point features","WFS via ArcGIS Server (preferred), will require information for configuration (attributes to expose, etc.) from NGDC staff, testing assistance; file-based to NGDC data center (alt.)",14,map
107,Bedrock depth (Quaternary isopach - interpolated raster coverage),depth to bedrock map,1,"coverage (raster, img format, 66MB)","WMS via ArcGIS Server, will require information for configuration (attributes to expose, etc.) from NGDC staff, testing assistance (preferred); file-based delivery in preferred format to NGDC data center (alt.).",14,map
108,Bedrock depth (Quaternary isopach - vector format 50-ft. contour interval),depth to bedrock map,1,polyline features (165MB),"WFS via ArcGIS Server (preferred), will require information for configuration (attributes to expose, etc.) from NGDC staff, testing assistance; file-based to NGDC data center (alt.)",14,map
109,Geothermal system features,Representing facilities with geothermal heating/cooling installation. Geothermal heating/cooling installations compiled from several sources,"8,000 point features ","location, attributes","WFS via ArcGIS Server (preferred), will require information for configuration (attributes to expose, etc.) from NGDC staff, testing assistance; file-based to NGDC data center (alt.)",14,lith
110,Resource Suitability Map ,coverage and/or features,1,"Mapping will incorporate geologic, hdyrogeologic, and other characteristics to determine suitably for various types of geothermal heating/cooling installations. ","Development of a prototype beginning this year that will incorporate one to four counties. WFS/WMS via ArcGIS Server (preferred), will require information for configuration from NGDC staff, testing assistance; ",14,map
111,Active Fault,IGS interactive fault map, 250 Quaternary and younger mapped faults,The IGS interactive fault map has more than 250 Quaternary and younger mapped faults; these will be reviewed and compared with the USGS fault database to avoid duplication with that data set and to identify fault information that is more recent / accurate,Data will be converted from the existing IGS fault database; records that duplicate USGS data will be flagged; and the data will be provided in ESRI shapefile format,9,tect
112,Document,"metadata records of the most relevant reports converted to pdf format, and pdf files in repository",200,metadata,Documents will be scanned into pdf format; a spreadsheet index will be created to facilitate search and retrieval of the document files,9,meta
113,Document,thermal water source descriptions,1000,"name, location, temperature","Data table will be converted to an ESRI shapefile and linked to the bibliographic index, above",9,meta
114,Document,"document in repository, and metadata for document",1,metadata,A spreadsheet index ,9,meta
115,Digital well log,metadata records for wells. ,50,"Data for BHT, chemistry, flow rates in separate tables where available.","A spreadsheet index will be created to facilitate locating and retrieving the IGS holdings.  Where feasible, relevant documents (drillers' reports, well logs, etc.) will be converted to pdf format ",9,lith
116,Digital well log,"Idaho Dept. of Water Resources 1000 geothermal wells, plus capture of well information for at least 200 deepest and hottest wells Reports and paper / microfiche logs of geothermal wells at the Idaho Dept. of Water Resources catalogued. ",1000," The amount is  unknown, so in Phase I  quantify how material will be captured in Phase II and III.", A spreadsheet index will be created as metadata for retrieval of  information in IDWR's holdings.  Some documents will be converted to pdf format .  The data will be made available to IDWR to offer online in the manner they choose or as a WFS.   ,9,lith
117,Chemical analysis (whole-rock chemistry),"ca.500 whole-rock analyses of U-Th-K contents, that only exists in NURE paper records . Tabular data on U-Th-K abundances in igneous and volcanic rocks from the NURE (National Uranium Resource Evaluation) program in the Challis 1x2 degree sheet",500,"Compare published digital data from U-Th-K sample locations in the NAVDAT (Western N. American Volcanic and Intrusive Rock) database with NURE whole-rock data to evaluate (a) the quality of the NURE data, and (b) whether further capture of NURE data in th","Paper data tables will be scanned and provided in pdf format  (by Phase 3, all data tables will be in shapefile format).  Metadata including data provenance, contact information, and data quality descriptors will be provided",9,rchem
118,Temperature depth log,Temperature vs. Depth well log for oil well ,appx. 30,"Surface location, depth and temperature at depth  time since circulation, hole diameter. ","Digitize logs, incorporate into geo thermal map  and make available as LAS files",27,lith
119,Bottom hole temperature,Oil well log bottom hole temperture reading from log header,5000,"Surface location, bottom hole temperature, bottom hole depth. ","Plan to make an x,y,z,z spreadshet in EXCEL showing Latitude, Longitude, Depth, temperature for entire state.  Start the sampling rate at 1 well per section.",27,temp
120,Drill stem test,Drill Stem test,2500,"surface location, depth interval tested, well bore pressures, fluid recoveries ","Input data into EXCEL, eventually into ORACLE  and upload on project database.",27,temp
121,Bottom hole temperature,"Bottom-hole temperatures, derived from petroleum logs of the Indiana Geological Survey.",2000,"Temperature, depth, borehole identification number, collar elevation, latitude and longitude of collar, source, date measured, settling interval, hole diameter, procedure.",Data will be provided in an ESRI shapefile for NGDS document repository. Metadata that is compliant with standards of the Federal Geographic Data Committee (FGDC) will be provided as TXT files.,22,temp
122,Temperature ,"Temperature logs, derived from the files of the Indiana Geological Survey.", 150 points ,"Temperature, depth, boreholeID, collar elevation, latitude and longitude of collar, source, date measured, settling interval, hole diameter, procedure.",Data will be provided in an ESRI shapefile for NGDS document repository. Metadata that is compliant with standards of the Federal Geographic Data Committee (FGDC) will be provided as TXT files.,22,temp
